AssetClass,Symbol,Description,ListingExchange,DateTime,Quantity,TradePrice,TradeMoney,Proceeds,Taxes,IBCommission,NetCash,ClosePrice,CostBasis,FifoPnlRealized,Buy/Sell
CASH,EUR.USD,EUR.USD,,2025-04-23;04:00:01,-0.05,1.13794,-0.056897,0.056897,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-23;04:00:01,-156.27,1.13794,-177.8258838,177.8258838,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-04-23;17:00:00,-0.00471537,1.13103537,-0.00533325,0.00533325,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-05-05;17:00:00,-0.00326403,1.13102547,-0.0036917,0.0036917,0,0,0,0,0,0,SELL
STK,AAPL,APPLE INC,NASDAQ,2025-05-16;09:32:18,0.0006,212.12,0.127272,-0.127272,0,-0.000127513,-0.127399513,211.26,0.127399513,0,BUY
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2025-06-17;09:30:00,0.002,175.64,0.35128,-0.35128,0,-0.00035203,-0.35163203,175.95,0.35163203,0,BUY
STK,META,META PLATFORMS INC-CLASS A,NASDAQ,2025-06-27;09:31:09,0.0001,730.8,0.07308,-0.07308,0,-0.000073158,-0.073153158,733.63,0.073153158,0,BUY
STK,AVUV,AVANTIS US SMALL CAP VALUE,ARCA,2025-06-27;09:34:01,0.0081,91.11,0.737991,-0.737991,0,-0.000740526,-0.738731526,91.21,0.738731526,0,BUY
STK,NVDA,NVIDIA CORP,NASDAQ,2025-07-07;09:33:23,0.0002,158.74,0.031748,-0.031748,0,-0.000031817,-0.031779817,158.24,0.031779817,0,BUY
STK,AVUV,AVANTIS US SMALL CAP VALUE,ARCA,2025-08-15;09:30:00,-0.0146,96.35,-1.40671,1.40671,0,-0.014083177,1.392626823,95.23,-1.405788,-0.013162,SELL
STK,AVUV,AVANTIS US SMALL CAP VALUE,ARCA,2025-08-15;09:30:00,-2,96.44,-192.88,192.88,0,-0.338155811,192.541844189,95.23,-192.484281,0.057563,SELL
CASH,EUR.USD,EUR.USD,,2025-08-15;09:30:00,-0.12,1.16844,-0.1402128,0.1402128,0,0,0,0,0,0,SELL
STK,AAPL,APPLE INC,NASDAQ,2025-08-15;09:34:44,0.0005,233.54,0.11677,-0.11677,0,-0.000116969,-0.116886969,231.59,0.116886969,0,BUY
CASH,EUR.USD,EUR.USD,,2025-08-15;17:00:00,-0.00413733,1.16964314,-0.004839201,0.004839201,0,0,0,0,0,0,SELL
STK,GOOGL,ALPHABET INC-CL A,NASDAQ,2025-09-16;09:30:01,0.0014,252,0.3528,-0.3528,0,-0.00035337,-0.35315337,251.16,0.35315337,0,BUY
STK,COIN,COINBASE GLOBAL INC -CLASS A,NASDAQ,2025-09-17;07:17:10,1,325.45,325.45,-325.45,0,-0.35047925,-325.80047925,320.56,325.80047925,0,BUY
CASH,EUR.USD,EUR.USD,,2025-09-17;07:17:10,-111.19,1.18331,-131.5722389,131.5722389,0,0,0,0,0,0,SELL
STK,NVDA,NVIDIA CORP,NASDAQ,2025-09-17;09:30:00,2,172.55,345.1,-345.1,0,-0.35370125,-345.45370125,170.29,345.45370125,0,BUY
STK,AMD,ADVANCED MICRO DEVICES,NASDAQ,2025-09-17;09:30:01,2,159.48,318.96,-318.96,0,-0.35370125,-319.31370125,159.16,319.31370125,0,BUY
CASH,EUR.USD,EUR.USD,,2025-09-17;09:30:02,-291.67,1.18299,-345.0426933,345.0426933,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-09-17;09:30:05,-269.95,1.18297,-319.3427515,319.3427515,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-09-17;09:30:06,-0.33,1.18295,-0.3903735,0.3903735,0,0,0,0,0,0,SELL
CASH,EUR.USD,EUR.USD,,2025-09-17;17:00:00,-0.00257262,1.18086553,-0.003037919,0.003037919,0,0,0,0,0,0,SELL
